gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	switchConsequencesGene	Rank
geneComp_00000051	gene-ABCC5	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.028847926111722072	TRUE	116
geneComp_00104726	gene-TSPAN17	NA	Muscle_PDExp_Hib	Muscle_PDExp_Fed	0.029105938358536133	TRUE	117
geneComp_00045387	gene-CUEDC1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.03026488252216745	TRUE	118
geneComp_00020861	gene-ZMAT2	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.03054391639599437	TRUE	119
geneComp_00015634	gene-PLS3	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.030771383022440014	TRUE	120
geneComp_00065271	gene-CAP1	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.031816556990589474	TRUE	121
geneComp_00014916	gene-OTUD7B	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.03229076666432625	TRUE	122
geneComp_00006739	gene-KLHL38	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.032429933825946756	TRUE	123
geneComp_00006927	gene-LDB3	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.032694789418987534	TRUE	124
geneComp_00016547	gene-RBFOX1	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.033284537365128895	TRUE	125
geneComp_00081054	gene-SENP6	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.035839611318232364	TRUE	126
geneComp_00014642	gene-NRP1	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.03637511892399841	TRUE	127
geneComp_00016482	gene-RAPGEF2	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.03637511892399841	TRUE	128
geneComp_00083147	gene-TMOD4	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.0369279905587292	TRUE	129
geneComp_00060076	gene-SIK3	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.037205495936989366	TRUE	130
geneComp_00055606	gene-MACF1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.03796208956547447	TRUE	131
geneComp_00004525	gene-FASTK	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.03848293168953888	TRUE	132
geneComp_00013469	gene-MED16	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.03848293168953888	TRUE	133
geneComp_00043764	gene-BIN1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.040119313222535376	TRUE	134
geneComp_00109875	gene-ECHDC1	NA	Muscle_PDExp_Hib	Muscle_PDExp_NotFed	0.04049081942115279	TRUE	135
geneComp_00020324	gene-VAMP4	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.04107680833722942	TRUE	136
geneComp_00044000	gene-CACNA2D3	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.0418766014896166	TRUE	137
geneComp_00056680	gene-NDUFA9	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.042056082733330835	TRUE	138
geneComp_00056890	gene-NLRX1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.042056082733330835	TRUE	139
geneComp_00059245	gene-RNASEH1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.042056082733330835	TRUE	140
geneComp_00060629	gene-SNRPF	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.042056082733330835	TRUE	141
geneComp_00043320	gene-ARMT1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.04408024588961666	TRUE	142
geneComp_00056513	gene-MYOZ3	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.04587913993084145	TRUE	143
geneComp_00001937	gene-CCNH	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.04608342222471686	TRUE	144
geneComp_00069826	gene-INPP5F	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.046539100196223634	TRUE	145
geneComp_00035190	gene-MTUS1	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hyp	0.049050808074998405	TRUE	146
geneComp_00003064	gene-CUNH18orf25	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.04922671138156387	TRUE	147
geneComp_00000447	gene-AKAP9	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.049596346958487005	TRUE	148
geneComp_00016835	gene-RNASEH1	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.049596346958487005	TRUE	149
geneComp_00017765	gene-SLC18B1	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.049596346958487005	TRUE	150
geneComp_00119115	gene-LRRFIP2	NA	Muscle_PDExp_Hib	Muscle_PDExp_NotFed	0.049750364262044995	TRUE	151
geneComp_00122670	gene-REEP1	NA	Muscle_PDExp_Hib	Muscle_PDExp_NotFed	0.049750364262044995	TRUE	152
geneComp_00083886	gene-USP28	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.04978393160883641	TRUE	153
