gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	switchConsequencesGene	Rank
geneComp_00098011	gene-RHOT2	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	1.231818175851043e-5	TRUE	24
geneComp_00101756	gene-YWHAE	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	3.3708493035873646e-5	TRUE	25
geneComp_00050613	gene-LOC113267808	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	4.565227719119344e-5	TRUE	26
geneComp_00099271	gene-SMARCA1	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	5.619517088948833e-5	TRUE	27
geneComp_00064750	gene-DLG1	NA	Liver_PDExp_Fed	Liver_PDExp_Hib	5.743871941391672e-5	TRUE	28
geneComp_00005508	gene-HGD	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	6.843874954297474e-5	TRUE	29
geneComp_00100566	gene-TMEM25	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	9.285495310388687e-5	TRUE	30
geneComp_00018097	gene-SYNE2	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	1.416210709017133e-4	TRUE	31
geneComp_00041062	gene-ACOX2	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	1.5876503620776314e-4	TRUE	32
geneComp_00059009	gene-SYNE2	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	1.5876503620776314e-4	TRUE	33
geneComp_00016288	gene-RNF152	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	2.7138867271657376e-4	TRUE	34
geneComp_00083056	gene-BCKDHB	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	2.985872033077012e-4	TRUE	35
geneComp_00058213	gene-SLC38A4	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	3.7898101771361055e-4	TRUE	36
geneComp_00058716	gene-SRD5A1	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	3.7898101771361055e-4	TRUE	37
geneComp_00048753	gene-LOC113250325	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	3.96515017766529e-4	TRUE	38
geneComp_00017151	gene-SLC1A2	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	4.2209901212700236e-4	TRUE	39
geneComp_00058063	gene-SLC1A2	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	4.946232056560579e-4	TRUE	40
geneComp_00042835	gene-CD36	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	4.958725590588325e-4	TRUE	41
